,name,avg_rating,reviews_count,company_type,Head_Quarters,Company_Age,No_of_Employee
0,TCS,3.9,(31.6k Reviews),Public,"Mumbai,Maharashtra + 217 more",54 years old,1 Lakh+ employees (India)
1,Accenture,4.0,(22.4k Reviews),Public,"Dublin,Dublin + 124 more",33 years old,1 Lakh+ employees (India)
2,Cognizant,3.9,(20.5k Reviews),Private,"Teaneck,New Jersey + 78 more",28 years old,1 Lakh+ employees (India)
3,ICICI Bank,4.0,(26.7k Reviews),Public,"Mumbai,Maharashtra + 924 more",28 years old,50k-1 Lakh employees (India)
4,HDFC Bank,4.0,(28.1k Reviews),Public,"Mumbai,Maharashtra + 1006 more",28 years old,1 Lakh+ employees (India)
5,Wipro,3.9,(19k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 233 more",77 years old,1 Lakh+ employees (India)
6,Capgemini,3.8,(15.6k Reviews),Public,Paris + 63 more,55 years old,1 Lakh+ employees (India)
7,HCL Technologies,3.8,(16k Reviews),Public,"Noida,Uttar Pradesh + 144 more",46 years old,1 Lakh+ employees (India)
8,Infosys,3.9,(19.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 109 more",41 years old,1 Lakh+ employees (India)
9,Tech Mahindra,3.7,(15.5k Reviews),Public,"Pune,Maharashtra + 162 more",36 years old,50k-1 Lakh employees (India)
10,Genpact,4.0,(14.7k Reviews),Private,"New York,New York + 51 more",25 years old,50k-1 Lakh employees (India)
11,Axis Bank,3.8,(14.7k Reviews),Public,"Mumbai,Maharashtra + 911 more",29 years old,50k-1 Lakh employees (India)
12,Vodafone Idea,4.2,(11.7k Reviews),Public,"Gandhinagar,Gujrat + 518 more",4 years old,10k-50k employees (India)
13,Reliance jio,4.0,(11.7k Reviews),Public,"Navi Mumbai,Maharashtra + 823 more",15 years old,10k-50k employees (India)
14,L&T,4.0,(23.2k Reviews),Public,"Mumbai,Maharashtra + 446 more",84 years old,10k-50k employees (India)
15,IBM,4.1,(11.5k Reviews),Public,New York + 101 more,111 years old,50k-1 Lakh employees (India)
16,Concentrix Corpora...,4.1,(11.1k Reviews),Public,"Fremont,California + 56 more",39 years old,10k-50k employees (India)
17,Amazon,4.2,(10.6k Reviews),Private,"Seattle,Washington + 295 more",28 years old,10k-50k employees (India)
18,HDB Financial Serv...,4.0,(10.1k Reviews),Private,"Ahmedabad,Gujrat + 644 more",15 years old,1 Lakh+ employees (India)
19,Kotak Mahindra Ban...,3.9,(10.4k Reviews),Public,"Mumbai,Maharashtra + 424 more",19 years old,10k-50k employees (India)
20,Teleperformance,3.6,(7.7k Reviews),Private,Paris + 94 more,44 years old,50k-1 Lakh employees (India)
21,Tata Motors,4.1,(7.5k Reviews),Public,"Pune,Maharashtra + 350 more",77 years old,50k-1 Lakh employees (India)
22,Bharti Airtel,4.1,(10.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 427 more",27 years old,5k-10k employees (India)
23,Reliance Industrie...,4.0,(30.1k Reviews),Public,"Navi Mumbai,Maharashtra + 357 more",49 years old,1 Lakh+ employees (India)
24,Deloitte,4.0,(6.4k Reviews),Private,"New York,New York + 112 more",177 years old,10k-50k employees (India)
25,Mahindra & Mahindr...,4.1,(16.3k Reviews),Public,"Mumbai,Maharashtra + 352 more",77 years old,10k-50k employees (India)
26,IndusInd Bank,3.8,(5.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 481 more",28 years old,10k-50k employees (India)
27,Reliance Retail,4.0,(9.6k Reviews),Private,"Navi Mumbai,Maharashtra + 389 more",16 years old,1 Lakh+ employees (India)
28,Hinduja Global Sol...,3.9,(5.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 69 more",22 years old,10k-50k employees (India)
29,WNS,3.7,(4.9k Reviews),Private,"Mumbai,Maharashtra + 19 more",26 years old,10k-50k employees (India)
30,Samsung,4.1,(5.5k Reviews),Private,"Suwon-Si,Gyeonggi-Do + 389 more",84 years old,50k-1 Lakh employees (India)
31,Maruti Suzuki,4.1,(4.8k Reviews),Public,"New Delhi,Delhi + 342 more",39 years old,10k-50k employees (India)
32,DXC Technology,3.7,(5k Reviews),Public,Virginia + 49 more,31 years old,10k-50k employees (India)
33,Infosys BPM,4.0,(4.3k Reviews),"Bangalore/Bengaluru,Karnataka + 36 more",20 years old,10k-50k employees (India),
34,Ericsson,4.2,(4.1k Reviews),Private,"Kista,Stockholm + 121 more",146 years old,10k-50k employees (India)
35,Ernst & Young,3.8,(4.1k Reviews),Private,London + 59 more,20 years old,50k-1 Lakh employees (India)
36,Bajaj Finserv,4.1,(10.6k Reviews),Public,Pune + 552 more,15 years old,10k-50k employees (India)
37,HSBC,4.1,(4.3k Reviews),Private,"Pune,Maharashtra + 49 more",20 years old,10k-50k employees (India)
38,Startek,3.5,(3.9k Reviews),"Mumbai,Maharashtra + 46 more",5 years old,1k-5k employees (India),
39,Conneqt Business S...,3.8,(3.9k Reviews),"Mumbai,Maharashtra + 132 more",20 years old,10k-50k employees (India),
40,Jana Small Finance...,3.9,(3.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 279 more",16 years old,10k-50k employees (India)
41,Dr. Reddy's,4.2,(3.9k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 118 more",36 years old,10k-50k employees (India)
42,Cipla Pharmaceutic...,4.0,(3.8k Reviews),Public,"Mumbai,Maharashtra + 173 more",87 years old,10k-50k employees (India)
43,Sutherland Global ...,3.8,(4.1k Reviews),Private,"Pittsford,New York + 38 more",36 years old,10k-50k employees (India)
44,ICICI Prudential L...,4.1,(3.7k Reviews),Public,"Mumbai,Maharashtra + 372 more",22 years old,10k-50k employees (India)
45,Indian Army,4.7,(3.6k Reviews),"New Delhi,Delhi + 247 more",127 years old,1 Lakh+ employees (India),
46,Mphasis,3.8,(3.6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 37 more",22 years old,1k-5k employees (India)
47,IDFC FIRST Bank,3.9,(3.5k Reviews),Public,"Mumbai,Maharashtra + 278 more",4 years old,10k-50k employees (India)
48,Bajaj Allianz Life...,4.1,(3.5k Reviews),Private,Pune + 387 more,21 years old,10k-50k employees (India)
49,Home Credit Financ...,4.3,(3.5k Reviews),Private,Gurugram + 94 more,10 years old,10k-50k employees (India)
50,Lupin,4.2,(3.4k Reviews),Public,"Mumbai,Maharashtra + 118 more",54 years old,10k-50k employees (India)
51,Yes Bank,3.9,(3.4k Reviews),Public,"Mumbai,Maharashtra + 306 more",18 years old,10k-50k employees (India)
52,Asian Paints,4.2,(3.8k Reviews),Public,"Mumbai,Maharashtra + 283 more",80 years old,5k-10k employees (India)
53,HDFC LIFE,4.1,(3.3k Reviews),"Mumbai,Maharashtra + 360 more",22 years old,10k-50k employees (India),
54,ITC,3.9,(5.7k Reviews),Public,"Kolkata,West Bengal + 199 more",47 years old,10k-50k employees (India)
55,Intelenet Global S...,3.7,(3.2k Reviews),Private,"Mumbai,Maharashtra + 55 more",22 years old,10k-50k employees (India)
56,NTT DATA,3.9,(3.4k Reviews),Private,"Chiyoda City,Tokyo + 31 more",34 years old,10k-50k employees (India)
